.metric,.estimator,.estimate
accuracy,multiclass,0.9880952380952381
kap,multiclass,0.98124162572577045
sens,macro,0.9803921568627451
spec,macro,0.9929078014184396
ppv,macro,0.9912280701754386
npv,macro,0.9950980392156863
mcc,multiclass,0.9814715969267452
j_index,macro,0.9732999582811848
bal_accuracy,macro,0.9866499791405923
detection_prevalence,macro,0.3333333333333333
precision,macro,0.9912280701754386
recall,macro,0.9803921568627451
f_meas,macro,0.9854545454545454
